max accuracy: 0.89 | max split: 3 | max features: (u'danceability', u'valence', u'energy', u'tempo', u'acousticness', u'speechiness')
Track: (u'Symphony No. 1 in D major, Wq. 183/1: Symphony No. 1 in D major, Wq. 183/1: I. Allegro di molto', u'Carl Philipp Emanuel Bach') | Predicted:  Classical | Actual: Classical
Track: (u'Symphony No. 8 in C Minor, WAB 108 (1890 edition, ed. L. Nowak): IV. Finale: Feierlich, nicht schnell', u'Anton Bruckner') | Predicted:  Classical | Actual: Classical
Track: (u'Violin Concerto No.1 in G minor, Op.26: 1. Vorspiel (Allegro moderato)', u'Max Bruch') | Predicted:  Classical | Actual: Classical
Track: (u'Symphony No.1 in C minor, Op.68: 1. Un poco sostenuto - Allegro - Meno allegro', u'Johannes Brahms') | Predicted:  Classical | Actual: Classical
Track: (u'Symphony No.4 In E Minor, Op.98: 4. Allegro energico e passionato - Pi\xf9 allegro', u'Johannes Brahms') | Predicted:  Classical | Actual: Classical
Track: (u'Bizet: Carmen, WD 31, Act 1 Scene 4: No. 5, Havanaise, "L\'amour est un oiseau rebelle" (Carmen, Chorus)', u'Georges Bizet') | Predicted:  Classical | Actual: Classical
Track: (u'West Side Story: 13. Ballet Sequence - Somewhere', u'Leonard Bernstein') | Predicted:  Classical | Actual: Classical
Track: (u'Appalachian Spring: Doppio movimento', u'Aaron Copland') | Predicted:  Classical | Actual: Classical
Track: (u'Symphonie fantastique, Op. 14: Symphonie fantastique, Op. 14: IV. Marche au supplice', u'Hector Berlioz') | Predicted:  Classical | Actual: Classical
Track: (u'Three Pieces for Orchestra, Op. 6 (1929 Revision): I. Pr\xe4ludium', u'Alban Berg') | Predicted:  Classical | Actual: Classical
Track: (u"Violin Concerto - 'To the Memory of an Angel': Violin Concerto - 'To the Memory of an Angel': I. Andante - Allegretto", u'Alban Berg') | Predicted:  Classical | Actual: Classical
Track: (u'Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 "Moonlight": I. Adagio sostenuto', u'Ludwig van Beethoven') | Predicted:  Classical | Actual: Classical
Track: (u'Beethoven : Symphony No.9 in D minor Op.125 : II Molto vivace', u'Ludwig van Beethoven') | Predicted:  Classical | Actual: Classical
Track: (u'Beethoven : Symphony No.7 in A major Op.92 : I Poco sostenuto - Vivace', u'Ludwig van Beethoven') | Predicted:  Classical | Actual: Classical
Track: (u'Concerto for Orchestra, BB 123: I. Introduzione: Andante non troppo - Allegro vivace', u'B\xe9la Bart\xf3k') | Predicted:  Classical | Actual: Classical
Track: (u'Violin Concerto BWV 1042 in E Major: Violin Concerto BWV 1042 in E Major: I. Allegro', u'Johann Sebastian Bach') | Predicted:  Classical | Actual: Classical
Track: (u'Unaccompanied Cello Suite No. 1 in G Major, BWV 1007: Pr\xe9lude', u'Johann Sebastian Bach') | Predicted:  Classical | Actual: Classical
Track: (u'The People United Will Never Be Defeated! - 36 Variations on \xa1El pueblo unido jam\xe1s ser\xe1 vencido!: Var. 36 - Improvisation', u'Frederic Rzewski') | Predicted:  Classical | Actual: Classical
Track: (u'Symphony in G Minor, Op. 6, No. 6, W. C12: I. Allegro', u'Johann Christian Bach') | Predicted:  Classical | Actual: Classical
Track: (u'Concierto de Aranjuez for Guitar and Orchestra: 2. Adagio', u'Joaqu\xedn Rodrigo') | Predicted:  Classical | Actual: Classical
Track: (u'Symphony No. 4 in E-Flat Major, WAB 104, "Romantic": I. Bewegt, nicht zu schnell - Live', u'Anton Bruckner') | Predicted:  Classical | Actual: Classical
Track: (u'Suite espa\xf1ola, Op.47: Sevilla (Sevillanas)', u'Isaac Alb\xe9niz') | Predicted:  Classical | Actual: Classical
Track: (u'Les Baricades Mist\xe9rieuses (6e ordre)', u'Fran\xe7ois Couperin') | Predicted:  Classical | Actual: Classical
Track: (u'Nocturne No.1 in B flat minor, Op.9 No.1', u'Fr\xe9d\xe9ric Chopin') | Predicted:  Classical | Actual: Classical
Track: (u"Chopin : 24 Preludes Op.28 : No.15 in D flat major, 'Raindrop'", u'Fr\xe9d\xe9ric Chopin') | Predicted:  Classical | Actual: Classical
